id,name,hex6,url,lrv,r,g,b,hex6_detail,description
T563,Woven Cashmere,C4B3AB,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/woven-cashmere-t563,46.81,196,179,171,C4B3AB,
3001-7C,Sturdy Bronze,BC9579,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/sturdy-bronze-3001-7c,33.374,188,149,121,BC9579,
6002-2A,Tornado Watch,A29B8D,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/tornado-watch-6002-2a,33.02,162,155,141,A29B8D,
T690,Patrick's Eyes,BCB5A2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/patricks-eyes-t690,46.324,188,181,162,BCB5A2,
2006-10A,Free Wheeling,AE9685,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/free-wheeling-2006-10a,32.362,174,150,133,AE9685,
3007-9C,Wild Mushroom,A9967B,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/wild-mushroom-3007-9c,31.736,169,150,123,A9967B,
V126-3,Rosy Linen,C4B1AF,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/rosy-linen-v126-3,46.29,196,177,175,C4B1AF,
V092-3,Prairie,D7AD6C,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/prairie-v092-3,45.591,215,173,108,D7AD6C,
3001-9C,Changing Seasons,B29175,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/changing-seasons-3001-9c,31.073,178,145,117,B29175,
V091-3,Whole Grain,D1AB76,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/whole-grain-v091-3,43.861,209,171,118,D1AB76,
V089-3,Toasty,D0A97F,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/toasty-v089-3,43.347,208,169,127,D0A97F,
6004-2A,Aspen Gray,9E978C,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/aspen-gray-6004-2a,31.309,158,151,140,9E978C,
8004-18D,Coyote Wild,AE9271,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/coyote-wild-8004-18d,31.0,174,146,113,AE9271,
T530,Saucy,C6AC77,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/saucy-t530,42.956,198,172,119,C6AC77,
8005-5E,Stone Terrace,9E8F7B,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/stone-terrace-8005-5e,28.0,158,143,123,9E8F7B,
6003-2A,Artichoke,8D8679,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/artichoke-6003-2a,24.063,141,134,121,8D8679,
V090-3,Moraine,C8AA83,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/moraine-v090-3,42.716,200,170,131,C8AA83,
V093-3,Casual Khaki,C5AB7F,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/casual-khaki-v093-3,42.506,197,171,127,C5AB7F,
6002-2B,Mossy Aura,857D6D,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/mossy-aura-6002-2b,20.69,133,125,109,857D6D,
