name,code,r,g,b,hex,brand,url
"FRAGRANT CLOVES","PPG1199-7","172","94","58","#AC5E3A","PPG","/color/color-families/oranges/fragrant-cloves"
"MINCEMEAT","PPG1200-7","182","106","60","#B66A3C","PPG","/color/color-families/oranges/mincemeat"
"SESAME CRUNCH","PPG1198-7","194","106","53","#C26A35","PPG","/color/color-families/oranges/sesame-crunch"
"BRONZE EUCALYPTUS","PPG16-20","174","112","59","#AE703B","PPG","/color/color-families/oranges/bronze-eucalyptus"
"LUCKY PENNY","PPG1201-7","188","111","55","#BC6F37","PPG","/color/color-families/oranges/lucky-penny"
"GINGER BEER","PPG1202-7","194","127","56","#C27F38","PPG","/color/color-families/oranges/ginger-beer"
"CORNUCOPIA","PPG1203-7","237","155","68","#ED9B44","PPG","/color/color-families/oranges/cornucopia"
"DYNAMO","PPG17-22","239","145","62","#EF913E","PPG","/color/color-families/oranges/dynamo"
"CARMELIZED ORANGE","PPG1197-7","239","146","74","#EF924A","PPG","/color/color-families/oranges/carmelized-orange"
"ORANGE POPPY","PPG1196-7","230","135","80","#E68750","PPG","/color/color-families/oranges/orange-poppy"
"FIELD POPPY","PPG1195-7","216","111","60","#D86F3C","PPG","/color/color-families/oranges/field-poppy"
"CINNAMON STONE","PPG1193-7","201","84","58","#C9543A","PPG","/color/color-families/oranges/cinnamon-stone"
"TABASCO","PPG1192-7","191","91","60","#BF5B3C","PPG","/color/color-families/oranges/tabasco"
"ORANGE VERMILLION","PPG1194-7","188","83","57","#BC5339","PPG","/color/color-families/oranges/orange-vermillion"
"TEABERRY BLOSSOM","PPG1189-7","180","73","64","#B44940","PPG","/color/color-families/oranges/teaberry-blossom"
"CALYPSO BERRY","PPG1185-7","197","58","75","#C53A4B","PPG","/color/color-families/reds/calypso-berry"
"BURNT RED","PPG1188-7","198","73","76","#C6494C","PPG","/color/color-families/reds/burnt-red"
"CALIFORNIA WINE","PPG1184-7","202","75","101","#CA4B65","PPG","/color/color-families/pinks/california-wine"
"PANAMA ROSE","PPG1181-7","198","87","124","#C6577C","PPG","/color/color-families/pinks/panama-rose"
"TUTTI FRUTTI","PPG17-10","194","90","136","#C25A88","PPG","/color/color-families/pinks/tutti-frutti"
"FUCHSIA FLOCK","PPG1182-7","171","68","107","#AB446B","PPG","/color/color-families/pinks/fuchsia-flock"
"CERISE","PPG17-11","165","73","118","#A54976","PPG","/color/color-families/pinks/cerise"
"HEART'S DESIRE","PPG1183-7","172","62","95","#AC3E5F","PPG","/color/color-families/pinks/heart-s-desire"
"RED LICORICE","PPG1186-7","168","62","76","#A83E4C","PPG","/color/color-families/reds/red-licorice"
"MAGENTA","PPG1050-7","149","61","85","#953D55","PPG","/color/color-families/pinks/magenta"
"MADEIRA RED","PPG13-11","148","62","77","#943E4D","PPG","/color/color-families/pinks/madeira-red"
"APPLE-A-DAY","PPG1051-7","144","63","69","#903F45","PPG","/color/color-families/reds/apple-a-day"
"CRAZED CRANBERRY","PPG13-12","143","67","71","#8F4347","PPG","/color/color-families/reds/crazed-cranberry"
"BURNING BUSH","PPG1057-7","160","64","62","#A0403E","PPG","/color/color-families/reds/burning-bush"
"CRUSHED TOMATOES","PPG13-09","163","71","71","#A34747","PPG","/color/color-families/reds/crushed-tomatoes"
"GRANADA","PPG17-12","162","64","65","#A24041","PPG","/color/color-families/reds/granada"
"RED GUMBALL","PPG1187-7","172","58","62","#AC3A3E","PPG","/color/color-families/reds/red-gumball"
"RUM PUNCH","PPG1190-7","170","66","58","#AA423A","PPG","/color/color-families/oranges/rum-punch"
"RUM RAISIN","PPG1064-7","164","73","61","#A4493D","PPG","/color/color-families/reds/rum-raisin"
"BINGE WATCH","PPG13-15","163","74","62","#A34A3E","PPG","/color/color-families/reds/binge-watch"
"AUTUMN RIDGE","PPG1058-7","155","66","63","#9B423F","PPG","/color/color-families/reds/autumn-ridge"
"CANDY APPLE","PPG13-10","150","70","71","#964647","PPG","/color/color-families/reds/candy-apple"
"BLAZE","PPG13-16","157","62","63","#9D3E3F","PPG","/color/color-families/reds/blaze"
"BRICK DUST","PPG1056-7","134","66","62","#86423E","PPG","/color/color-families/reds/brick-dust"
"RUBY LIPS","PPG1052-7","129","62","69","#813E45","PPG","/color/color-families/reds/ruby-lips"
"BURGUNDY WINE","PPG1053-7","108","64","62","#6C403E","PPG","/color/color-families/reds/burgundy-wine"
"BORDEAUX","PPG1055-7","119","64","65","#774041","PPG","/color/color-families/reds/bordeaux"
"SWEET SPICEBERRY","PPG1059-7","123","69","62","#7B453E","PPG","/color/color-families/reds/sweet-spiceberry"
"FALLINGWATER<sup>®</sup> RED","PPG13-02","130","78","74","#824E4A","PPG","/color/color-families/reds/fallingwater-red"
"ANTIQUE MAHOGANY","PPG16-08","120","76","66","#784C42","PPG","/color/color-families/reds/antique-mahogany"
"WARM MAHOGANY","PPG1060-7","109","71","65","#6D4741","PPG","/color/color-families/reds/warm-mahogany"
"MUSTANG","PPG1015-7","94","74","71","#5E4A47","PPG","/color/color-families/neutrals/mustang"
"CHOCOLATE CROISSANT","PPG16-24","87","70","66","#574642","PPG","/color/color-families/neutrals/chocolate-croissant"
"CHOCOLATE ECLAIR","PPG1054-7","103","72","72","#674848","PPG","/color/color-families/reds/chocolate-eclair"
"CHIANTI","PPG13-06","114","73","74","#72494A","PPG","/color/color-families/reds/chianti"
"ENCHANTING EGGPLANT","PPG13-07","96","67","68","#604344","PPG","/color/color-families/reds/enchanting-eggplant"
