code,hex,collection,name,description,lrv,usage,url
DEC745,#E5D0B0,Perfect Palette,CHAPARRAL,"Chaparral color is a sun-washed beige with subtle hints of sand and peach, inspired by the dry, golden landscapes of the American West. Its soft warmth adds an inviting and effortless elegance to interiors and exteriors.",,,https://www.dunnedwards.com/colors/browser/dec745/
DEC746,#D5BFA5,Perfect Palette,APACHE TAN,"Apache Tan color is a warm, earthy beige with hints of peach, offering a cozy and inviting feel. This color is perfect for creating a welcoming and comforting ambiance in both residential and commercial spaces.",,,https://www.dunnedwards.com/colors/browser/dec746/
DEC747,#D5C3AD,Perfect Palette,SAHARA,"Sahara is a medium toned, oatmeal beige color and part of our Classics Collection. Comfortable and classic, Sahara will wrap your walls in coziness. Pair with warm whites and cinnamon reds for a sense of casual, Cottagecore vibes.",,,https://www.dunnedwards.com/colors/browser/dec747/
DEC748,#E3D3BF,Perfect Palette,OYSTER,"Oyster color is a light, warm neutral and part of our Classics Collection. Did you know there’s a National Oyster Day and that there are over 100 different species of oysters? This neutral is a lovely backdrop to complement warmer color palettes throughout the home, light and inviting.",,,https://www.dunnedwards.com/colors/browser/dec748/
DEC749,#E9DCD1,Perfect Palette,LINEN WHITE,"Linen White is a creamy off-white color with gentle beige undertones that suggest the softness of natural textiles. Its subtle warmth makes it an ideal choice for creating light, inviting spaces with a classic touch.",,,https://www.dunnedwards.com/colors/browser/dec749/
DEC750,#9F9180,Perfect Palette,BISON BEIGE,"Bison Beige is a midtone desert taupe color with a touch of green undertone and part of the Classics Collection. Embrace your rugged impulses with a warm putty shade perfect for those looking for a warm gray color. Classically pastoral, this endlessly versatile color feels right at home with rustic ranch and French country design styles.",,,https://www.dunnedwards.com/colors/browser/dec750/
DEC751,#C1B5A9,Perfect Palette,ASH GRAY,"Ash Gray is a weathered, warm gray color with rosy undertones and part of our Classics Collection. Classic and versatile, this color adds a sophisticated, stylish note to Bohemian and desert modern design aesthetics. Pair Ash Gray with warm whites and navy for a classic color palette.",,,https://www.dunnedwards.com/colors/browser/dec751/
DEC752,#CCBEAC,Perfect Palette,BIRCHWOOD,"Birchwood is a light warm neutral with a touch of gray and part of our Classics Collection. This color exudes a casual and comfortable feeling and with its versatility, is perfect for Transitional and Rustic Ranch design styles. Pair with moss greens and deep chocolate for a space reflective of nature and the indoor/outdoor lifestyle.",,,https://www.dunnedwards.com/colors/browser/dec752/
DEC753,#EDDCC8,Perfect Palette,ALMOND,"Almond is a light warm beige hue and part of our Classics collection. Inspired by one of the most popular nuts for summer salads and other dishes here in the Southwest, try Almond in a guest room to envelop the room in classic comfort.",,,https://www.dunnedwards.com/colors/browser/dec753/
DEC754,#E2D0B9,Perfect Palette,QUICKSAND,,,,https://www.dunnedwards.com/colors/browser/dec754/
DEC755,#736354,Perfect Palette,COCOA,,,,https://www.dunnedwards.com/colors/browser/dec755/
DEC756,#59504C,Perfect Palette,WEATHERED BROWN,"Weathered Brown is a deep brown and part of the Classics Collection. Add a sense of depth and sophistication with this dark, almost-graphite brown that is also a historically-accurate color. Weathered Brown is an ashy, blackened brown that elevates the drama of any space while also grounding it. These rare qualities make it the perfect companion for Mid Century Modern, Rustic Ranch, Craftsman, and Arts & Crafts design styles.",,,https://www.dunnedwards.com/colors/browser/dec756/
DEC757,#C7B39E,Perfect Palette,RINCON COVE,"Rincon Cove color is a soft, muted taupe that blends warm beige and cool gray tones. This elegant and versatile shade brings a sense of calm and understated sophistication to any interior, creating a welcoming and balanced ambiance.",,,https://www.dunnedwards.com/colors/browser/dec757/
DEC758,#EBDBCA,Perfect Palette,CASHMERE,Cashmere color is a light creamy neutral with pink undertones and is part of our Classics collection. Inspired by this favorite material for sweaters and throws — soft and luxurious.,,,https://www.dunnedwards.com/colors/browser/dec758/
DEC759,#B7A28E,Perfect Palette,HICKORY,"Hickory color is a warm neutral and part of our Classics Collection. Inspired by the hickory tree and its changing leaf colors through fall season, Hickory is a perfect color for interiors and exteriors of traditional style homes.",,,https://www.dunnedwards.com/colors/browser/dec759/
DET403,#AF9690,Perfect Palette,ROSE MAUVE,"Rose Mauve is a faded, aged rose color and part of our Then, Now & Forever® Collection. As a historic color noted from our Victorian era research, Rose Mauve is an elegant, subtle hue that can act as a neutral. Try it in a bedroom to give a welcoming, restful atmosphere.",,,https://www.dunnedwards.com/colors/browser/det403/
DET404,#93807F,Perfect Palette,CALIFORNIA DREAMIN',"Muted grape paint color with a wash of gray, California Dreamin' evokes the splendor of vineyards in the morning mist. Use this earthy purple as a grounding element that hints at happier days ahead.",,,https://www.dunnedwards.com/colors/browser/det404/
DET410,#A54049,Perfect Palette,FLORIOGRAPHY,,,,https://www.dunnedwards.com/colors/browser/det410/
DET413,#684141,Perfect Palette,FOLKLORE,"Folklore color is a deep, muted reddish-brown shade that evokes warmth and earthiness. It carries a vintage, rustic feel, reminiscent of aged leather or autumn leaves. This color is versatile in design, offering a grounded and rich backdrop for natural or vintage-inspired themes.",,,https://www.dunnedwards.com/colors/browser/det413/
DET414,#986E6E,Perfect Palette,HOMESTEAD RED,,,,https://www.dunnedwards.com/colors/browser/det414/
DET416,#D2A5A3,Perfect Palette,LA VIE EN ROSE,"The color of heirloom roses or the perfect pink sunset over Paris, La Vie en Rose captures a sense of romanticism and innocence.",,,https://www.dunnedwards.com/colors/browser/det416/
