name,code,url,family,r,g,b,
Calypso,SW6950,/en-us/color/color-family/blue-paint-colors/sw6950-calypso,Blue,1,176,187,
Canvas Tan,SW7531,/en-us/color/color-family/white-paint-colors/sw7531-canvas-tan,White,220,209,191,
Capri,SW6788,/en-us/color/color-family/blue-paint-colors/sw6788-capri,Blue,1,160,184,
Captivating Cream,SW6659,/en-us/color/color-family/orange-paint-colors/sw6659-captivating-cream,Orange,244,217,177,
Carnival,SW6892,/en-us/color/color-family/orange-paint-colors/sw6892-carnival,Orange,235,136,44,
Casa Blanca,SW7571,/en-us/color/color-family/white-paint-colors/sw7571-casa-blanca,White,237,225,206,
Cay,SW6772,/en-us/color/color-family/blue-paint-colors/sw6772-cay,Blue,166,208,214,
Cayenne,SW6881,/en-us/color/color-family/orange-paint-colors/sw6881-cayenne,Orange,192,77,53,
Celestial,SW6808,/en-us/color/color-family/purple-paint-colors/sw6808-celestial,Purple,151,179,208,
Center Stage,SW6920,/en-us/color/color-family/green-paint-colors/sw6920-center-stage,Green,178,194,22,
Cerise,SW6580,/en-us/color/color-family/red-paint-colors/sw6580-cerise,Red,153,50,78,
Certain Peach,SW6625,/en-us/color/color-family/orange-paint-colors/sw6625-certain-peach,Orange,242,189,162,
Chamomile,SW6399,/en-us/color/color-family/yellow-paint-colors/sw6399-chamomile,Yellow,233,224,197,
Champagne,SW6644,/en-us/color/color-family/red-paint-colors/sw6644-champagne,Red,242,227,206,
Charisma,SW6605,/en-us/color/color-family/red-paint-colors/sw6605-charisma,Red,238,148,137,
Cheerful,SW6903,/en-us/color/color-family/yellow-paint-colors/sw6903-cheerful,Yellow,255,199,35,
Cheery,SW6584,/en-us/color/color-family/red-paint-colors/sw6584-cheery,Red,235,146,163,
Cherries Jubilee,SW6862,/en-us/color/color-family/red-paint-colors/sw6862-cherries-jubilee,Red,171,60,81,
Cheviot,SW9503,/en-us/color/color-family/white-paint-colors/sw9503-cheviot,White,246,242,232,
Childlike,SW6569,/en-us/color/color-family/red-paint-colors/sw6569-childlike,Red,232,192,207,
Chinese Red,SW0057,/en-us/color/color-family/red-paint-colors/sw0057-chinese-red,Red,158,62,51,
Choice Cream,SW6357,/en-us/color/color-family/white-paint-colors/sw6357-choice-cream,White,240,225,208,
Chopsticks,SW7575,/en-us/color/color-family/white-paint-colors/sw7575-chopsticks,White,224,209,184,
Citronella,SW6915,/en-us/color/color-family/yellow-paint-colors/sw6915-citronella,Yellow,203,169,1,
Cityscape,SW7067,/en-us/color/color-family/neutral-paint-colors/sw7067-cityscape,Neutral,127,129,126,
Classic Light Buff,SW0050,/en-us/color/color-family/white-paint-colors/sw0050-classic-light-buff,White,240,234,220,
Clematis,SW6831,/en-us/color/color-family/purple-paint-colors/sw6831-clematis,Purple,126,101,150,
Cloudless,SW6786,/en-us/color/color-family/blue-paint-colors/sw6786-cloudless,Blue,143,208,221,
Cold Foam,SW9504,/en-us/color/color-family/white-paint-colors/sw9504-cold-foam,White,239,236,227,
Comical Coral,SW6876,/en-us/color/color-family/orange-paint-colors/sw6876-comical-coral,Orange,243,209,200,
Coming up Roses,SW6585,/en-us/color/color-family/red-paint-colors/sw6585-coming-up-roses,Red,221,119,136,
Confident Yellow,SW6911,/en-us/color/color-family/yellow-paint-colors/sw6911-confident-yellow,Yellow,254,203,1,
Cooled Blue,SW6759,/en-us/color/color-family/blue-paint-colors/sw6759-cooled-blue,Blue,117,185,174,
Copper Harbor,SW6634,/en-us/color/color-family/orange-paint-colors/sw6634-copper-harbor,Orange,213,126,82,
Coral Bells,SW6593,/en-us/color/color-family/red-paint-colors/sw6593-coral-bells,Red,187,75,81,
Coral Reef,SW6606,/en-us/color/color-family/red-paint-colors/sw6606-coral-reef,Red,217,118,108,
Cosmetic Peach,SW6618,/en-us/color/color-family/orange-paint-colors/sw6618-cosmetic-peach,Orange,243,193,171,
Cosmos,SW6528,/en-us/color/color-family/purple-paint-colors/sw6528-cosmos,Purple,142,169,194,
Cotton,SW9581,/en-us/color/color-family/white-paint-colors/sw9581-cotton,White,238,235,225,
Cotton White,SW7104,/en-us/color/color-family/white-paint-colors/sw7104-cotton-white,White,247,239,227,
