E5DA9F,FFFBF0
C5C0AC,F7F6F1
D8C7B6,F7F6F1
D8C7B6,FFFBEE
D5C6BD,F8F5E9
C89672,FFFDF2
BAB6A9,F4F1EB
D5C6BD,F7F6F1
87A1B1,FDF3E4
DCD8C7,FFFBF0
EDD2A3,FFFCEC
D9DFE3,FDFAF1
CEBE9F,F7F6F1
DCD8C7,FDFAF1
D4CEBF,F4F0E8
D1DAD5,E5EBE6
E1DDBF,FDF6E7
D2CFC1,F3F0E8
BCA380,E2D8C2
D6C3B9,F5EAE3
D5C7B3,F7F6F1
EEE2D5,F7F6F1
C7BDA8,E5DFCD
DFC6AA,FAF7F0
CEBE9F,FAF3E6
FDFAF1,FFE1A3
D5DBD5,F7F6F1
FFECC2,FFF8E3
C6DCC7,FFF9E4
C5C0AC,F5E9D9
E2D8C3,FFFCE3
F2E0C5,FDFAF1
D8C7B6,F5EBE1
E1CBB6,FDFAF1
D2CFC1,F3F0E8
D4C0C5,FFFEED
D8C7B6,FFF9EC
D6C3B9,FFF3F0
F7D8C4,F7F6F1
D6BA9B,FDFAF1
BBB3A2,F4F0E8
D8C7B6,F7EFDE
CDBACB,F4EAF0
D6C3B9,FFFDF2
D8CFC1,F7F6F1
DDC3B7,FDFAF1
D2D2DF,F7F6F1
D8CEB9,F0EFEB
CBB68F,F4F0E1
FFF3D5,FFFDEB
E1DDBF,F7F6F1
70828F,F4F2EA
CCBEAC,FFECE0
C3B4B3,FDFAF1
CBCDC4,ECEBE5
E9D4A9,F6ECD6
E9D4A9,F7F6F1
E3CBA8,FDFAF1
D9A05F,E6E0E0
D4CEBF,F7F6F1
D4CEBF,F4F0E8
D8CFC1,F7F6F1
C95B83,F7F6F1
B9B79B,F2F1E6
E3CBA8,FCF7EB
EFDFCF,FFFFE9
E1CBB6,F9EDE2
D5D8BC,F7F6F1
D5C6BD,FDFAF1
DCD8C7,FDFAF1
FFE3CB,F7F6F1
E5D2B0,FDFAF1
D8CEB9,F0EFEB
D8C7B6,F8F5E9
D8C7B6,FFF9E4
D5C6BD,FFFBF0
E9E2D7,F7F6F1
C0B28E,E1D8B8
C7BDA8,F6EFE1
D0DBD7,E4EBE7
CBCDC4,ECEBE5
EFDBA7,FEF5DB
E2C4AF,F3E4D3
D4CEBF,FDFAF1
B6C5C1,FDFAF1
ECD8B1,F0EFEB
F1D5AE,FDFAF1
E3CBA8,FFFBF0
D4CBCC,E6E0E0
7D867C,E8EBE7
D8CFC1,FFF9E2
D8C7B6,F5EBE1
D8CFC1,FDFAF1
E2D6BD,FDFAF1
C1B4A0,F5EFE8
939789,E5DFCD
D8C7B6,FFFBF0
D2C5AE,FDFAF1
E8DAD1,FFF7ED
F7D8C4,FFF4EB
B8A88A,ECEBE5
E8B447,FFFDEB
D5C7B3,FDFAF1
D8C7B6,FFF9E4
DDC3B7,F6EAD8
FAE6CA,FFF9EC
D8DADB,F7F6F1
CBCDC4,ECEBE5
FDFAF1,FFDADC
D6C5A9,FDF3E4
CED2AB,F2F1DC
CDD0C0,FDFAF1
8FC1D2,FCF7EB
7E6F4F,F6EFE1
D2C6AE,FDFAF1
D8C7B6,FFFBF0
E9D3BA,FDFAF1
E9D3BA,FAF4D4
E3D9A0,F0E8D9
D8CFC1,F7EFDD
DDDCBF,FFFDF2
D1D0D1,FDFAF1
E1CEAD,F7F6F1
D5C6BD,F5ECE7
E7E2D6,FFFDF2
BEA781,F0EFEB
D8C095,E6E3D6
D8CFC1,F5EFE8
CADFDD,E9F9F5
E2D5D3,EDE2E0
D0D1C1,FFFCEC
F1D5AE,FDFAF1
F7E5A9,F8F5E9
CBCDC4,ECEBE5
D5C3AD,FDF3E4
D0B082,FAEEDB
D1D9D7,F4ECDB
CDBDBA,FFFCEC
D6C5A9,F7F6F1
C1B4A0,F5EFE8
DBDBDA,FFF0EA
D6D69B,F7F6F1
BAB4A6,F4F0E1
C1B4A0,F5EFE8
FDFAF1,FFDEA6
E3EFDD,F7F6F1
C3B4B3,ECE3E1
E1CEAD,F9EEDC
E0CFB5,FFFBF0
C7C7C2,F0EFEB
D2C6AE,F0E8D9
CCAF92,FAECD9
D8C7B6,F5EBE1
BAB4A6,ECEBE5
D2D8F4,FFFBEE
E2D6BD,F8F5E9
E2D6BD,FAF3E6
A2B7CF,FFF9EC
D2CDBC,F6EFE1
D2C6AE,FFEBEE
C7BDA8,ECEBE5
DDCAAF,EBE2CF
CDB9A2,FFFBF0
CBB68F,DBD7C4
CDD0C0,FAF0DB
E3CBA8,F8F5E9
F5BFB2,FFFBF0
E9E1A7,FFF9E4
E5A192,FEF5DB
E5A192,FFF8EE
D5C7B3,F4F0E3
4D6A77,FBF1DF
B3B5AF,F4F0E1
D4D0C5,FAF3E6
B6B5B8,F7F6F1
D8C7B6,FDFAF1
D0B082,FAEEDB
CAD3D4,F7F6F1
D6C3B9,FDFAF1
D1D8D6,FFFBEE
C1B4A0,F5EFE8
CBC5C6,FDFAF1
B6C5C1,E4EBE7
D5D7D9,FDFAF1
C5B9B4,ECE5E1
D3D3D2,FDFAF1
EDCCB3,F8F5E9
F5CE9F,F7F6F1
D4D0C5,FDFCFA
FDFAF1,FFEFCB
EBE9D8,F1E6CC
D5C7B3,F7F6F1
CCBEAC,E0EBFA
D6C0A4,F7F6F1
D6C0A4,FFF8E3
E1D8B8,E5DFCD
E2D8C3,FDFAF1
A5A495,E6E3D6
D2C6AE,FFFCEC
E1CEAD,FFFBF0
CCD3D8,FDFAF1
