name,code,rgb,hex
"Midnight Sky","H-620","62,71,103","#3e4767"
"Lunar Eclipse","H-630","70,70,97","#464661"
"Purple Blanket","H-640","74,69,93","#4a455d"
"Berry Charm","H-650","79,71,99","#4f4763"
"Blackberry Harvest","H-660","80,67,88","#504358"
"Plum","H-670","85,68,94","#55445e"
"Purple Bloom","H-680","84,66,88","#544258"
"Interlude","H-690","86,67,85","#564355"
"Burley Wood","H-700","105,86,65","#695641"
"Dried Leaf","H-710","92,80,67","#5c5043"
"Volcanic Island","H-720","96,82,68","#605244"
"Eagle Rock","H-730","92,82,66","#5c5242"
"Fedora","H-740","89,82,72","#595248"
"Mountain Trail","H-750","97,87,66","#615742"
"Olive Leaf","H-760","80,77,65","#504d41"
"Bridgewood","H-770","87,81,68","#575144"
"Thorny Branch","H-780","76,74,65","#4c4a41"
"Black Suede","H-790","67,67,66","#434342"
"Deco Red","S140-7","130,73,66","#824942"
"Spiced Berry","S150-6","138,81,72","#8a5148"
"Fire Roasted","S150-7","121,72,62","#79483e"
"Hot Chili","S160-5","173,117,107","#ad756b"
"Ole Pink","S170-1","235,213,204","#ebd5cc"
"Toasted Pecan","S190-7","118,81,67","#765143"
"Molasses","S220-7","136,101,77","#88654d"
"Beech Nut","S230-3","215,181,154","#d7b59a"
"Granola","S230-4","201,163,134","#c9a386"
"Almond Biscuit","S250-2","233,201,169","#e9c9a9"
"Roasted Cashew","S250-5","181,131,85","#b58355"
"Plantation Tan","S260-1","232,212,187","#e8d4bb"
"Cake Crumbs","S260-1A","232,212,187","#e8d4bb"
"Dusty Gold","S260-3","215,185,153","#d7b999"
"Pelican Tan","S260-4","200,164,129","#c8a481"
"Praline","S270-4","211,174,133","#d3ae85"
"White Bean Hummus","S290-2","232,208,178","#e8d0b2"
"Slender Reed","S290-3","222,194,159","#dec29f"
"French Creme","S300-1","242,230,207","#f2e6cf"
"Powdered Gold","S300-2","232,210,177","#e8d2b1"
"Almond Cookie","S300-3","222,196,157","#dec49d"
"Writing Paper","S310-1","241,230,207","#f1e6cf"
"Farm House","S320-1","239,232,215","#efe8d7"
"Pale Parsnip","S320-2","227,216,191","#e3d8bf"
"Oat Field","S320-4","192,173,137","#c0ad89"
"Tree Hugger","S340-7","121,119,74","#79774a"
"Cedar Glen","S350-7","104,102,71","#686647"
"Yogi","S360-5","138,140,102","#8a8c66"
"Down-To-Earth","S360-7","92,98,66","#5c6242"
"Creamy Spinach","S390-3","178,191,166","#b2bfa6"
"Cliffside Park","S390-6","111,129,101","#6f8165"
"New Moss","S410-2","198,214,199","#c6d6c7"
"Pond's Edge","S410-3","182,201,184","#b6c9b8"
"Garden Twilight","S430-3","163,187,179","#a3bbb3"
"Blue Fir","S430-7","81,100,95","#51645f"
"Malaysian Mist","S440-2","184,209,208","#b8d1d0"
"Aspiring Blue","S440-3","162,193,192","#a2c1c0"
"Tower Bridge","S440-4","123,160,160","#7ba0a0"
