source_anchor_slug,source_anchor_code,source_anchor_name,source_family,source_url,a_slug,a_code,a_name,a_rgb,a_hex,b_slug,b_code,b_name,b_rgb,b_hex
de5009,DEW-5009,Soft Cashmere,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5009/,de5009,DEW-5009,Soft Cashmere,,EFB6D8,dew341,DEW-341,Trim,"rgb(248,245,233)",F8F5E9
de5009,DEW-5009,Soft Cashmere,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5009/,de5009,DEW-5009,Soft Cashmere,,EFB6D8,de6359,DEW-6359,Accent,"rgb(216,218,219)",D8DADB
de5009,DEW-5009,Soft Cashmere,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5009/,dew341,DEW-341,Trim,"rgb(248,245,233)",F8F5E9,de6359,DEW-6359,Accent,"rgb(216,218,219)",D8DADB
de5010,DEW-5010,Gumdrop,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5010/,de5010,DEW-5010,Gumdrop,,DE96C1,dew300,DEW-300,Trim,"rgb(255,244,243)",FFF4F3
de5010,DEW-5010,Gumdrop,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5010/,de5010,DEW-5010,Gumdrop,,DE96C1,de6331,DEW-6331,Accent,"rgb(191,201,208)",BFC9D0
de5010,DEW-5010,Gumdrop,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5010/,dew300,DEW-300,Trim,"rgb(255,244,243)",FFF4F3,de6331,DEW-6331,Accent,"rgb(191,201,208)",BFC9D0
de5011,DEW-5011,Deep Carnation,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5011/,de5011,DEW-5011,Deep Carnation,,C973A2,de6274,DEW-6274,Trim,"rgb(236,235,229)",ECEBE5
de5011,DEW-5011,Deep Carnation,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5011/,de5011,DEW-5011,Deep Carnation,,C973A2,de6276,DEW-6276,Accent,"rgb(203,205,196)",CBCDC4
de5011,DEW-5011,Deep Carnation,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5011/,de6274,DEW-6274,Trim,"rgb(236,235,229)",ECEBE5,de6276,DEW-6276,Accent,"rgb(203,205,196)",CBCDC4
de5012,DEW-5012,Vivid Violet,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5012/,de5012,DEW-5012,Vivid Violet,,AE5883,de6218,DEW-6218,Trim,"rgb(244,240,232)",F4F0E8
de5012,DEW-5012,Vivid Violet,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5012/,de5012,DEW-5012,Vivid Violet,,AE5883,de6221,DEW-6221,Accent,"rgb(187,179,162)",BBB3A2
